"page_id","title","url","page_type","followers","likes"
"100077358983582","International Myanmar Prayer Ministry | Facebook","https://www.facebook.com/people/International-Myanmar-Prayer-Ministry/100077358983582/","Page · Community","780 followers","757 likes"
"100064189053820","TSI Myanmar Co.,ltd | Facebook","https://www.facebook.com/people/TSI-Myanmar-Coltd/100064189053820/","Page · Home decor","158 followers","152 likes"
"100064146875759","Jenesys 2018 Japan-ASEAN Students Conference_ Myanmar | Facebook","https://www.facebook.com/people/Jenesys-2018-Japan-ASEAN-Students-Conference_-Myanmar/100064146875759/","Page · Exchange programme","1.4K followers","1.3K likes"
"100064603695995","Zion Baptist Church, Hakha, Chin State, Myanmar | Facebook","https://www.facebook.com/people/Zion-Baptist-Church-Hakha-Chin-State-Myanmar/100064603695995/","Page · Religious organisation","10K followers","6.3K likes"
"100064603695995","Zion Baptist Church, Hakha, Chin State, Myanmar | Facebook","https://www.facebook.com/people/Zion-Baptist-Church-Hakha-Chin-State-Myanmar/100064603695995/","Page · Religious organisation","10K followers","6.3K likes"
"100076019242075","City Worship Center Austin Myanmar -English Service | Facebook","https://www.facebook.com/people/City-Worship-Center-Austin-Myanmar-English-Service/100076019242075/","Page · Personal blog","511 followers","492 likes"
"100063817115786","Master of Arts in Peace Studies, Myanmar Institute of Theology | Facebook","https://www.facebook.com/people/Master-of-Arts-in-Peace-Studies-Myanmar-Institute-of-Theology/100063817115786/","Page · Writer","1.3K followers","1.2K likes"
"100076019242075","City Worship Center Austin Myanmar -English Service | Facebook","https://www.facebook.com/people/City-Worship-Center-Austin-Myanmar-English-Service/100076019242075/","Page · Personal blog","511 followers","492 likes"
"100063817115786","Master of Arts in Peace Studies, Myanmar Institute of Theology | Facebook","https://www.facebook.com/people/Master-of-Arts-in-Peace-Studies-Myanmar-Institute-of-Theology/100063817115786/","Page · Writer","1.3K followers","1.2K likes"
"100069823464039","Myanmar Yseali Environmental Fellows Program | Facebook","https://www.facebook.com/people/Myanmar-Yseali-Environmental-Fellows-Program/100069823464039/","Page · Interest","2.2K followers","2.1K likes"
"100064895462068","Myanmar Fellowship of Evangelical Students-MFES | Facebook","https://www.facebook.com/mfesmyanmar/","Page · Community",,
"100041897961245","Jung Ga Ram Myanmar Fan | Facebook","https://www.facebook.com/people/Jung-Ga-Ram-Myanmar-Fan/100041897961245/","Page · Actor","1.8K followers",
"100063839780313","VICTOR Badminton Myanmar | Yangon | Facebook","https://www.facebook.com/people/VICTOR-Badminton-Myanmar/100063839780313/","Page · Retail company","16K followers","13K likes"
"100065123413380","Myanmar American Car Club | Facebook","https://www.facebook.com/people/Myanmar-American-Car-Club/100065123413380/","Page · Community","3.6K followers","3.5K likes"
"100063839780313","VICTOR Badminton Myanmar | Yangon | Facebook","https://www.facebook.com/people/VICTOR-Badminton-Myanmar/100063839780313/","Page · Retail company","16K followers","13K likes"
"100069956825811","MATA: Myanmar Agriculture Trading Association | Yangon | Facebook","https://www.facebook.com/people/MATA-Myanmar-Agriculture-Trading-Association/100069956825811/","Page · Agriculture","337 followers","323 likes"
"100070523195183","Yangon Myanmar Real Estate | Thingangyun | Facebook","https://www.facebook.com/people/Yangon-Myanmar-Real-Estate/100070523195183/","Page · Property","21 followers","19 likes"
"100076019242075","City Worship Center Austin Myanmar -English Service | Facebook","https://www.facebook.com/people/City-Worship-Center-Austin-Myanmar-English-Service/100076019242075/","Page · Personal blog","511 followers","492 likes"
"100067975494429","Fx Victoria-Song Qian Myanmar | Facebook","https://www.facebook.com/people/Fx-Victoria-Song-Qian-Myanmar/100067975494429/","Page · Musician/band","658 followers","635 likes"
"100067709199278","JBL Sole Distributor in Myanmar | Facebook","https://www.facebook.com/people/JBL-Sole-Distributor-in-Myanmar/100067709199278/","Page · Vehicle service","8.2K followers","8.2K likes"
"100066473085245","IU. Myanmar | Facebook","https://www.facebook.com/people/IU-Myanmar/100066473085245/","Page · Fan Page","118 followers","86 likes"
"100083349638423","Smarten Power Systems- Myanmar | Bago | Facebook","https://www.facebook.com/SmartenPowerMyanmar/","Page · Solar energy company",,
"100080568507027","Myanmar AZUSA CO.,LTD | Yangon | Facebook","https://www.facebook.com/people/Myanmar-AZUSA-COLTD/100080568507027/","Page · Local business","1.4K followers","1.4K likes"
"100076381868094","National University of the Union of Myanmar - Global Campus | Indianapolis IN | Facebook","https://www.facebook.com/people/National-University-of-the-Union-of-Myanmar-Global-Campus/100076381868094/","Page · Education website","16K followers","11K likes"
"100064705830751","Manga,Comic Myanmar-MCM | Facebook","https://www.facebook.com/people/MangaComic-Myanmar-MCM/100064705830751/","Page · Just for fun","34K followers","32K likes"
"100066586277025","Metal Sheet Supply To Myanmar | Bangkok | Facebook","https://www.facebook.com/people/Metal-Sheet-Supply-To-Myanmar/100066586277025/","Page · Heating, ventilating and air conditioning service","171 followers","167 likes"
"100068781017231","Economics CMU at Yangon University of Economics Myanmar | Facebook","https://www.facebook.com/people/Economics-CMU-at-Yangon-University-of-Economics-Myanmar/100068781017231/","Page · Education","732 followers","736 likes"
"100063967628519","Consumer Goods Myanmar Limited | Facebook","https://www.facebook.com/people/Consumer-Goods-Myanmar-Limited/100063967628519/","Page · Industrial company","5.4K followers","5K likes"
"100083258930853","Charming Prince : Peem Wasupon Myanmar FanPage | Facebook","https://www.facebook.com/people/Charming-Prince-Peem-Wasupon-Myanmar-FanPage/100083258930853/","Page · Personal blog","2.8K followers",
"100046659915061","Myanmar Golf Agency | Facebook","https://www.facebook.com/people/Myanmar-Golf-Agency/100046659915061/","Page · Travel company","134 followers","127 likes"
"100069048954718","Institute of Myanmar Graduate Studies | Yangon | Facebook","https://www.facebook.com/people/Institute-of-Myanmar-Graduate-Studies/100069048954718/","Page · Local service","144 followers","145 likes"
"100069384520138","Jennie Myanmar | Facebook","https://www.facebook.com/people/Jennie-Myanmar/100069384520138/","Page · Fan Page","10K followers","10K likes"
"100067715650184","Sakura Myanmar Business Center | Facebook","https://www.facebook.com/people/Sakura-Myanmar-Business-Center/100067715650184/","Page · Local business","3.6K followers","3.6K likes"
"100069823464039","Myanmar Yseali Environmental Fellows Program | Facebook","https://www.facebook.com/people/Myanmar-Yseali-Environmental-Fellows-Program/100069823464039/","Page · Interest","2.2K followers","2.1K likes"
"100079580885715","Khit Thit Myanmar Media | Facebook","https://www.facebook.com/people/Khit-Thit-Myanmar-Media/100079580885715/","Page · Media/news company","2.4K followers","1.7K likes"
"100067381955189","PT Gaming | Facebook","https://www.facebook.com/people/PT-Gaming/100067381955189/","Page · Product/service","10 followers","10 likes"
"100078164179362","Chinland Defense Force - Mara | Facebook","https://www.facebook.com/people/Chinland-Defense-Force-Mara/100078164179362/","Page · Defence company","4.2K followers","2.7K likes"
"100066921610909","Ko Maung | Facebook","https://www.facebook.com/people/Ko-Maung/100066921610909/","Page · Personal blog","2 followers","2 likes"
"100064100855668","Shasha mart | Facebook","https://www.facebook.com/people/Shasha-mart/100064100855668/","Page · Mobile phone shop","295 followers",
"100069880599134","နွေဦးတော်လှန်ရေး | Facebook","https://www.facebook.com/people/%E1%80%94%E1%80%BD%E1%80%B1%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%90%E1%80%B1%E1%80%AC%E1%80%BA%E1%80%9C%E1%80%BE%E1%80%94%E1%80%BA%E1%80%9B%E1%80%B1%E1%80%B8/100069880599134/","Page · Personal blog","345 followers","324 likes"
"100068055008818","အမှန်တရား၏ဘက်တော်သား | Facebook","https://www.facebook.com/people/%E1%80%A1%E1%80%99%E1%80%BE%E1%80%94%E1%80%BA%E1%80%90%E1%80%9B%E1%80%AC%E1%80%B8%E1%80%98%E1%80%80%E1%80%BA%E1%80%90%E1%80%B1%E1%80%AC%E1%80%BA%E1%80%9E%E1%80%AC%E1%80%B8/100068055008818/","Page · Personal blog","4 followers","2 likes"
"100066737466880","သံလိုက်ဘုရင် | Facebook","https://www.facebook.com/people/%E1%80%9E%E1%80%B6%E1%80%9C%E1%80%AD%E1%80%AF%E1%80%80%E1%80%BA%E1%80%98%E1%80%AF%E1%80%9B%E1%80%84%E1%80%BA/100066737466880/","Page · Property","96 followers","91 likes"
"100068657104268","My Lovely CR 7 Family | Facebook","https://www.facebook.com/people/My-Lovely-CR-7-Family/100068657104268/","Page · Personal blog","21K followers","21K likes"
"100071877107333","YLA_Nodemcu | Facebook","https://www.facebook.com/people/YLA_Nodemcu/100071877107333/","Page · Science website","0 followers","0 likes"
"61556244761963","ရန်ကုန် ခေတ်သစ် News သတင်းများ | Facebook","https://www.facebook.com/people/%E1%80%9B%E1%80%94%E1%80%BA%E1%80%80%E1%80%AF%E1%80%94%E1%80%BA-%E1%80%81%E1%80%B1%E1%80%90%E1%80%BA%E1%80%9E%E1%80%85%E1%80%BA-News-%E1%80%9E%E1%80%90%E1%80%84%E1%80%BA%E1%80%B8%E1%80%99%E1%80%BB%E1%80%AC%E1%80%B8/61556244761963/","Page · Musician/band","4.5K followers","1.4K likes"
"100070170475256","Than Ye Zaw Page | Facebook","https://www.facebook.com/people/Than-Ye-Zaw-Page/100070170475256/","Page · Personal blog","71 followers","70 likes"
"100077333178988","Khaing Thandar Kyaw | Facebook","https://www.facebook.com/people/Khaing-Thandar-Kyaw/100077333178988/","Page · Beauty, cosmetic & personal care","34 followers","32 likes"
